Pos,Player,PPG,HEAT,Sal,2x,3x,4x,TM,Opp,DvP,PM,Pts L5,FPPM,Proj P,Proj V
PG,Nigel Williams-Goss,2.6,,3000,6,9,12,UTA,BOS,0.9,0,4,0.74,0,0
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
,0,,,,,,,,,,0,,,,
